State,Name,Population,Median Age,Household Income,Per Capita Income,Poverty Count,Poverty Rate,Unemployment Rate,Households with Internet,Households with Just Cell Data Plan,Households with DSL or Fiber Optic,Households with Broadband Any Type,Households with Celular Data Plan,Households with Just DSL or Fiber Optic,Households with Satellite Internet,Households with Just Satellite Internet,Households with No Internet
17,"Peoria County, Illinois",186145.0,37.0,53063.0,29683.0,28747.0,15.44333718337855,4.094657390743775,74515.0,6499.0,45984.0,54434.0,33222.0,19167.0,3596.0,783.0,16359.0
17,"Union County, Illinois",17267.0,43.5,46716.0,24646.0,2870.0,16.621300747089826,2.3686801413100134,6686.0,1300.0,2291.0,4100.0,2466.0,1244.0,574.0,257.0,2230.0
17,"Winnebago County, Illinois",287512.0,39.6,51110.0,27297.0,43159.0,15.01119953254125,5.121177550850051,114491.0,10665.0,73048.0,88369.0,58118.0,26927.0,6515.0,1516.0,20644.0
17,"Piatt County, Illinois",16433.0,43.0,67360.0,33672.0,888.0,5.403760725369683,2.488894298058784,6676.0,1165.0,3725.0,5475.0,4282.0,888.0,516.0,168.0,945.0
17,"Pulaski County, Illinois",5691.0,43.3,34655.0,20195.0,966.0,16.974169741697416,4.041468986118432,2246.0,373.0,517.0,1166.0,713.0,301.0,243.0,98.0,1009.0
17,"Schuyler County, Illinois",7181.0,46.6,47321.0,23670.0,1511.0,21.041637654922713,3.0079376131458013,2856.0,277.0,1655.0,2158.0,1160.0,879.0,252.0,91.0,589.0
17,"Stark County, Illinois",5551.0,45.0,52284.0,30009.0,763.0,13.745271122320302,2.3239056025941274,2330.0,304.0,1107.0,1645.0,966.0,553.0,238.0,108.0,612.0
17,"Edgar County, Illinois",17603.0,44.5,47873.0,26344.0,2655.0,15.082656365392262,3.6755098562744988,7669.0,879.0,3756.0,5484.0,3922.0,1253.0,1009.0,218.0,1935.0
17,"Bond County, Illinois",17034.0,40.4,54393.0,24473.0,2399.0,14.083597510860631,2.3599859105318775,6132.0,668.0,2984.0,4571.0,3035.0,980.0,1274.0,339.0,1381.0
17,"Boone County, Illinois",53638.0,38.3,62701.0,29029.0,5617.0,10.47205339498117,4.090383683209665,18709.0,1635.0,12452.0,15385.0,10701.0,4031.0,1630.0,283.0,2730.0
17,"Bureau County, Illinois",33619.0,43.7,54271.0,28332.0,4175.0,12.418572830839704,2.94476337785181,13816.0,1737.0,7531.0,10346.0,6707.0,3042.0,1045.0,444.0,2922.0
17,"Carroll County, Illinois",14704.0,47.4,50555.0,27605.0,1634.0,11.112622415669206,2.8495647442872687,6573.0,741.0,3319.0,4865.0,2910.0,1507.0,747.0,266.0,1452.0
17,"Coles County, Illinois",52540.0,34.3,41907.0,26060.0,10212.0,19.43661971830986,3.682908260373049,21006.0,1389.0,13862.0,15884.0,10057.0,5400.0,921.0,240.0,3988.0
17,"Crawford County, Illinois",19214.0,42.5,47468.0,25955.0,2056.0,10.70053086291246,2.8052461746643074,7665.0,935.0,3888.0,5522.0,3493.0,1633.0,768.0,237.0,1757.0
17,"Jersey County, Illinois",22215.0,42.5,56320.0,27528.0,2009.0,9.043439117713257,3.1240153049741166,8831.0,674.0,4371.0,6234.0,3116.0,2416.0,1410.0,479.0,2255.0
17,"Putnam County, Illinois",5771.0,47.5,64741.0,33697.0,507.0,8.78530583954254,2.8591232022179867,2438.0,297.0,1162.0,1777.0,1077.0,471.0,358.0,193.0,556.0
